tweet,date
yes source quote talk,2020-09-05
good choice,2020-09-04
thing,2020-09-04
back next week auckland,2020-09-04
yes come famous aphorism problem computer science solved adding another level indirection corollary except problem many level indirection,2020-09-04
clickety click xmas list,2020-09-03
gallardo,2020-09-03
conference conf find online month itkonekt meeting c,2020-09-03
find online month ndc techtown conference yow perthsingaporehong kong conf codecamp gotopia,2020-09-03
ill talking unreasonable architecture monday,2020-09-03
,2020-09-02
,2020-09-02
youve discovered secret time travel cool,2020-09-02
staring window typing shortcut reflex something bizarre happen another window another screen turn intention eye gaze insufficient grab focus,2020-09-02
term originated aeronautical engineering im sure short would make much sense,2020-09-02
recurring irony kiss principle keep simple stupid confusion around last word function intended vocative ie addressing someone often comma dropped added changing meaning kiss turn simple,2020-09-01
,2020-08-31
haarman undefined choice,2020-08-31
sadly make difference pytest still mechanism,2020-08-31
,2020-08-31
,2020-08-30
,2020-08-30
,2020-08-29
im speaking gotopia europe online next month there conference pass use promo code kevlin,2020-08-28
least,2020-08-28
uk government couldnt organise piss brewery main challenge social political cultural note technical facebook annoyed privacy protection apple putting place show apple right track,2020-08-28
oh yes ive bitten price filtering item cheap expensive slider linear,2020-08-28
delighted st round result flash fiction challenge,2020-08-28
ive site normally based location browser o normally fairly consistent past varied lot hence ive received year constant,2020-08-28
,2020-08-28
beskar steel accept substitute,2020-08-28
,2020-08-27
grr site wont let log youve confirmed via link youve logged different machine exactly machine used last time logged incorrect claim made good security,2020-08-27
yes circulated,2020-08-27
scoo,2020-08-27
,2020-08-27
youll find cool code lower layer architecture,2020-08-27
accidental inspiration creativity poor handwriting contemplating meant coding convection coming interesting possibility turn actually wrote coding convention make sense le interesting,2020-08-27
another addition compendium doesnt mean,2020-08-27
felipe,2020-08-26
,2020-08-26
although look like blog lost paragraph formatting,2020-08-26
btw link story moved want update,2020-08-26
,2020-08-26
agile velocity stop obsessing david michel,2020-08-25
,2020-08-25
chicken,2020-08-25
compiler doesnt need help hard get wrong expecting compiler expecting get wrong given information need typically covered first two sentence documentation,2020-08-25
chocolate,2020-08-25
nope exception compromise white chocolate something ever happen toblerone thats sitting fence want hear really think,2020-08-25
problem c example common idiom easy get right hard get wrong follows directly prose description problem there downside c version hard get right easy get wrong make easy task hard,2020-08-25
suspect would disappointed outcome,2020-08-25
used justify ease writing correct code,2020-08-25
extent discussion nailed,2020-08-25
design challenge convert runtime error compiletime error reduce likelihood error increasing ability programmer express intent directly design challenge met,2020-08-25
yeah totally cross finger behind back,2020-08-25
course note rngs c far versatile randomnumber feature rather rudimentary rand srand c simple thing correspondingly harder,2020-08-25
course c facility time manipulation error prone significantly le gallifreyan ability c ltchronogt overcompensates manages make simple task difficult differently error prone,2020-08-25
problem solved one general time manipulation seeding rand respect current time probability getting idiom wrong c low probability able formulate compile corresponding c similarly low,2020-08-25
nod,2020-08-25
correct controversial cocoa,2020-08-25
prota seems clear,2020-08-24
getting actually involves retrieval across address space storage etc consider whether there natural opposite ie put even isnt implemented may name pairing eg receivesend loadsave precise get,2020-08-24
simply query method ie basically represent value fieldbased computed property simply name ie foo clear enough,2020-08-24
report grimm fertig meyers could long wait remember waiting scott fastware book,2020-08-24
bit conversation disappear iee rabbit hole,2020-08-24
day wonder idea preserving user setting even trashing deploying new version kind secret known handful web mobile developer,2020-08-24
agreed,2020-08-24
article mine five year ago naming exceptional naming one hardest thing software development naming reason naming hard important act communication,2020-08-23
convention however deprive developer opportunity solve problem theyre working communicate intent clearly others along abstract base exception one one discourages precise identification abstraction,2020-08-23
yes remember correctly dont much except theyre variation based different pronunciation verb came noun came generalising use fiend context addiction habit eg opium fiend dope fiend,2020-08-23
dont eat,2020-08-22
week instagram bristol,2020-08-22
agreed learned great deal think interface usage whether ui api design everyday thing,2020-08-22
likewise useful essential feature originally thought solves problem inheritance rarely arise considered use inheritance composition etc,2020-08-22
gee,2020-08-21
think need distinguished difference shift state art meaningful way shift state art full potential shift state art way would liked shifted,2020-08-20
last sentence contradicts previous sentence devops didnt magically spring existence void context similarly everyone may tdd ubiquity developer testing meaningful shift welldefined origin,2020-08-20
,2020-08-20
nail clipper,2020-08-20
,2020-08-20
yeah quite kind variety look life,2020-08-19
hunter,2020-08-19
agiles devastated wasteland life sucked religious ritual carried people dont understand purpose ritual intended serve first place,2020-08-19
,2020-08-19
,2020-08-19
begin youd like sure ill able stop though,2020-08-18
funnily enough one reason im selling kramer want tone knob love singlepickup aesthetic simplicity without extra control tonal option narrow want play,2020-08-18
cc,2020-08-18
,2020-08-17
atchis,2020-08-17
indeed whole gwt model isomorphic hoare triple introduced reason procedural code problem procedural right shape point make procedural programming back never went away talk,2020-08-17
nod,2020-08-17
example include c,2020-08-17
programming language example attention paid mainstream language adopting feature many associate functional programming overlooked degree mainstream language also become procedural,2020-08-17
youre looking something particular direction likely youll miss something youre looking coming another direction thats consequence human vision also seems true cognition bias,2020-08-17
took picture toast morning,2020-08-17
,2020-08-17
yeah way modern software architecture practice squander resource disheartening,2020-08-17
yup think go winner first loser second loser,2020-08-17
eton come lot criticism recently perhaps take moment focus achievement excels turning actor play trickster tom hiddleston boris johnson david cameron,2020-08-17
,2020-08-17
well counting jigawatts,2020-08-17
symptom broader problem trust environment trust easily automatically abused answer online trust safety security lack problem artefact way let online world evolve,2020-08-17
yeah miss travelling germany,2020-08-17
password manager symptom solution,2020-08-17
well marty mcfly,2020-08-17
,2020-08-17
one minor thing resent new way working number new signins continue accumulate kind messaging meeting content sharing conference av etc site fact epidemic forced reinstall slack,2020-08-17
however suspect may asking different question whether using one test framework ok team kind framework used test different aspect system eg language platform level ui expected fine,2020-08-17
shiny new tool framework come along used couple place left someone el maintenance problem next tool used,2020-08-17
think use whatever problem lack coherence lead dependency sprawl lead personal testing silo use whatever philosophy also problem architecture,2020-08-17
yup definitely dont bring lunch might follow,2020-08-16
yup reference heavily lambda keep using letter talk,2020-08-16
ive never liked init method name ive seen promoting contextual keyword make like,2020-08-16
yup tacitly excluding static source fun surprise inheritance focus easy stuff zero initialisation followed field initialisers followed constructor,2020-08-16
important question answer class design doesnt decisive right answer however reveal different mental model weighting id say bias thats always positive developer around object initialisation,2020-08-16
im,2020-08-16
,2020-08-16
say validation good example make sense also find common pattern usage calculated access eg normalising index converting value would otherwise lead modest duplication also good opportunity,2020-08-16
always liked idea thinking class small program object small process contain hierarchy well dag functionality include data abstraction even already inside data abstraction,2020-08-16
dont see enough,2020-08-16
yup ran space add note talking class,2020-08-16
need even worry issue also reduced presence certain pattern practice immutability example reduces amount code could ever question doesnt fully eliminate mutation language dna,2020-08-16
approach course make much le sense constructor field close one another class already battleground complexity putting initialisation code constructor definitely practical choice,2020-08-16
leaf constructor job thing field initialisers cant case thats full initialisation field case populating collection already set initialiser,2020-08-16
brings field constructor closer together making reading easier conceptually constructor scope nested within scope field consider visually collocated following easy reading order,2020-08-16
return question reading model field constructor adjacent reading field part reading constructor many developer happy reduce line code field initialisers possible,2020-08-16
normal way least bring order distinguish one constructor work others merely forward nothing else interesting,2020-08-16
ideal situation wed like everything one place however constructor overloading also mess avoid duplication within constructor people often use constructor forwardingchaining tension everything one place,2020-08-16
however creating strong syntactic distinction field constructor put construct practice tension another practice people like follow grouping field initialisers constructor creates decision point,2020-08-16
also tell leaving object invalid state init method property setting considered outside good valid initialisation habit,2020-08-16
follow practice initialising close declaration possible lead field initialisers case possible case thats possible field depend parameter constructor close possible location,2020-08-16
various construct introduced compromise inconsistency practice language none ever fully reclaimed directness convenience closure model,2020-08-16
led different additional mechanism added make job easierpossible eg member initialiser list c constructor chaining initialiser block java almost quite simula,2020-08-16
separation meant special function constructor c java c,2020-08-16
however later language chose make class special lose blockstructured idea ironically lead stronger separation data function opposed closer one normal thinking oo,2020-08-16
simula constructor field initialiser question never arises neither constructor variable initialisation declaration cant initialisers class statement initialisation one way create instance overloading,2020-08-16
class could also passed parameter initialise instance top part instance state word object closure,2020-08-16
simply coincidental convenience history oo simula object simply referenceable block outlived stack frame go inside block procedure method variable field statement initialisationconstruction,2020-08-16
class scope language akin block scope language design way taught sometimes obscure similarity make reasoning class object lifetime etc easier yes field declaration variable declaration,2020-08-16
thats question question explicitly asks style choice field dependent constructor argument constructordependent field choice made hence question answer,2020-08-16
yes thats approach,2020-08-16
hence question choice made,2020-08-16
,2020-08-16
indeed often solved adopting practice set thats slightly different discussion,2020-08-16
,2020-08-16
immutability make question rare necessarily nonexistent context questioning unreasonable,2020-08-16
,2020-08-16
yes nice idea although im wild particular keyword choice make good declarative trend language taken,2020-08-16
similar thinking approach proximity matter reading allows read top simple stuff got way constructor leaf constructor free interesting stuff case exist,2020-08-16
mertz local variable terminology used consistently standard declaration case distinction matter eg extern variable function etc distinction made,2020-08-16
thats necessarily case field primitive reference type whose instance immutable yes making field static make sense example field hold collection case,2020-08-16
,2020-08-16
field initialisers always called constructor called,2020-08-16
close approach add move remove based need minimalism,2020-08-16
,2020-08-16
said question consistency still arises,2020-08-16
final field scope question static field arent constructorparameter independent also instance independent,2020-08-16
,2020-08-16
scientific computing stronger force habit likely fortran unlike c declaring top requirement,2020-08-16
definition declaration declaration definition context standard lot c writing however term declaration normal usage discussing variable eg compoundstatement may contain declarationstatements,2020-08-16
good insight yes think thats right certainly reflected hierarchy changeable system taught also reflected associated learning team individual connection hadnt made thanks,2020-08-16
,2020-08-16
ever work singlelanguage environment really issue change constant something make special effort address say expect apis doesnt require special accommodation awareness,2020-08-16
like bedrock mental model hard move invisible u,2020-08-16
think feature im looking forward union operator dict,2020-08-16
continued,2020-08-16
read top functionmethodblocketc introduced name value together needed giving cumulative reading model concise easy reason got class field constructor,2020-08-16
broadly however practice initialising declaration declaring late possible offer benefit correctness case support widespread language,2020-08-16
yes careful say field initialiser common c,2020-08-16
language c c dont require controlflow analysis ensure variable initialised use coherent initialisation strategy question correctness syntax case style really become substance,2020-08-16
c loosened constraint allowing declaration considered statement ie moved algol model algol model late crowd c java,2020-08-16
eg found many kampr c programmer believed declaration must come top function restriction never existed c blockstructured language variable local block required preceded regular statement,2020-08-16
another force shape habit ignorance language complex programmer often unaware detail sense habit style choice formed based malrules,2020-08-16
important recognise many style choice made explicitly based habit never questioned sometimes coming older language version unrelated language environment variable initialisation habit fall category,2020-08-16
language different time adopted different model older language likely require declaration functionetc head support initialisation declaration limitation influenced many coding habit regardless language,2020-08-16
think blog subject convey incorrect information,2020-08-16
question specifically field constructor parameter independent rectangle example relevant discussion,2020-08-16
coat summoning,2020-08-16
initialisation use hence initialisation use,2020-08-16
thread continued later,2020-08-16
aside pursue supporting reading model logical conclusion arrive near practice updating variable ie variable hold one usable value one scope fishtail value thats another story,2020-08-16
word reading model linear cumulative read top bottom name value added rather left unresolved constantly changing,2020-08-16
likely many people follow use practice practice make simple concise reading code idea introduced fleshed needed mental model state rarely left pending wrongfooted,2020-08-16
week ago commented tweet variable initialisation still practice declare late possible ie first use initialise close declaration possible widely followed,2020-08-16
better understand tension style choice help go back basic initialisation declaration etc,2020-08-16
question class internals structured ie difference make difference calling code free choice interesting builder immutability factory dependency injection etc question unaffected,2020-08-16
although worded question unambiguously possible within twitter constraint scoped c,2020-08-16
said issue also revealed interesting contradiction dont think resolved triggered question first place,2020-08-16
couple day back asked style question use field initialisers v initialisation constructor interesting reply considered others insight style preference given,2020-08-16
booch doesnt ring bell recall year might written,2020-08-16
something comfortable c c idiom feel place python objection python little expression oriented statement oriented would consider walrus place,2020-08-16
uk indeed tried precise could twitter constraint variety misinterpretation,2020-08-15
chicken think important thing discussion acknowledgement tradeoff isnt perfect rule force resolve differently depending different weighting,2020-08-14
meh,2020-08-14
yes declarative simplicity comprehension harpooned imperative walrus,2020-08-14
zoppi nice way putting,2020-08-14
,2020-08-14
look ahead python,2020-08-14
pretty much yes anything beyond assembler lisp considered system arbitrary preference,2020-08-14
technically repurposing extension existing sense ie reusing keyword reusing construct,2020-08-14
indeed wanted syntax necessary definitely want rather need,2020-08-14
wouldnt said use necessary transient convenience shuffling logic around one know moment know better sense smell kicked,2020-08-14
meh unnecessary addition language,2020-08-14
phew close used python walrus operator found elegant way express code unused,2020-08-14
,2020-08-14
wiersma question framed specifically context java c,2020-08-14
example present article good example builder make difference absolutely nothing article suggests one true way object construction stronger claim unsubstantiated,2020-08-14
class people write use dont need benefit builder fine ordinary constructor benefit static factory method builder make difference use doesnt necessarily exclude technique,2020-08-14
indeed although people system approximation make sense conversational context wont find anything close nuance system statement scattered code,2020-08-14
continuation callback much like gotos said use continuation model gotos formalised manner pretty though,2020-08-14
take specific example probably prefer mix relative absolute le approximation yesterday day ago hour minute ago yesterday th august prefer,2020-08-14
programmed fortran basic trust dont want go,2020-08-14
,2020-08-14
see something happened memorable easily relocated see something happened hour ago keep adjust based current time,2020-08-14
sometimes relative approximate time appropriate case trying differentiate find thing time series relative time le effective even le approximated,2020-08-14
frank buschmann douglas schmidt spent many page patternoriented software architecture cautioning singlehammer syndrome,2020-08-14
pattern supposed applied contextually rather uniformly everywhere eg like related smell always writing factory class using builder unconditionally make code harder write simple case better solved using technique complex,2020-08-14
sound like mixed system also improvement say yesterday certain time rather say hour ago day ago,2020-08-14
question nothing immutability although reason many people misinterpreted also oo design programming language usage encapsulated caller,2020-08-14
question orthogonal immutability question initialisation field constructorparameter independent,2020-08-14
vast majority c,2020-08-14
json field initialisers dont necessarily guarantee full correct initialisation object thats question im asking question use field initialisers initialisation independent constructor parameter,2020-08-14
,2020-08-14
seems appropriate nature application bestofboth approach,2020-08-14
doesnt surprise inside slack good application struggling get swamped slack resource management slack ux suspect technical debt problem failed manage growth,2020-08-14
quite easy get right even easier right thing offer main option,2020-08-14
wild peeve application show approximated relative time dont let choose absolute time presentation option instead,2020-08-14
le domesticated peeve application show approximated relative time dont update making unhelpful time indication even le useful,2020-08-14
pet peeve application instead showing actual time show approximated relative time eg hour ago day ago next useless anyone know tell time care time,2020-08-14
wiersma understand correctly making constant mean making const generally option otherwise best readonly confer optimisation,2020-08-13
wiersma dont want use autoproperties lot time youre oop youre using enterprise oo style dtobased programming autoproperties make lot sense many case underlying representation property nuanced,2020-08-13
wiersma aiming immutability omit set completely initialisation permitted subsequent reassignment,2020-08-13
wiersma attend course refactoring immutability,2020-08-13
wiersma said relevant topic initialisers constructor public class thing public ienumerableltstringgt stuff get set new listltstringgt,2020-08-13
wiersma think highlight one common pitfall autoproperties lead habit put setter thing shouldnt setter,2020-08-13
labaere,2020-08-13
kind thing would put field initialisers kind thing would throw exception kind thing throw exception kind thing put field initialisers,2020-08-13
setter property field initialisers,2020-08-13
,2020-08-13
,2020-08-13
may talking cross purpose public class c private int f query operation setter instance immutable ive used field initialiser,2020-08-13
ok incidental relationship necessary one could easily final field constructor initialisation field builder essential aspect although may reason one,2020-08-13
purpose discussion property initialisers conceptually similar field initialisers locate initialisation declaration rather separate construct,2020-08-13
labaere consider region problem rather solution,2020-08-13
put property initialisers category field initialisers collocated declaration rather delocalised separate code construct,2020-08-13
thats true cant use setter immutable instance nothing language prevents initialising field plan leave instance immutable perhaps meant something else,2020-08-13
wiersma field reference collection common example,2020-08-13
must misunderstood youre saying rarely use fieldlevel initialisation also say keep field finalreadonly could clarify consider relationship two one follow,2020-08-13
second case item first set null reassigned exception involved,2020-08-13
,2020-08-13
readability locality brevity dry separate concern initialise close declaration possible,2020-08-13
dont think thats good guideline aim make code simple concise always requiring builder opposite effect making simple case heavyweight cumbersome sometimes builder better option sometimes dont require,2020-08-13
field iniatilised therefore needed initialisation thats definition language case interested field initialised independently constructor parameter therefore independently constructor,2020-08-13
field whose initialisation independent constructor parameter initialise constructor rather early point declaration,2020-08-13
yes intentionally excluded c way express initialisation response question would noise opposed current response recent addition question would deal legacy,2020-08-13
chicken isnt danger end noisy constructor go constructor thats something interesting dont want see cluttered trivial stuff could easily handled point declaration read moment,2020-08-13
c broadened initialisation style part allow class written concisely part reduce duplicate code workarounds constructor part hey c,2020-08-13
api case im talking make difference caller whether implemented using field initialisation late initialisation parameterindependent field,2020-08-13
see,2020-08-13
mean class name private listlttgt item new listlttgt v class name private listlttgt item public name item new listlttgt,2020-08-13
parameterdependent initialisation case im interested,2020-08-13
programmer like include constructorparameter independent initialisation constructor keep one place multiple constructor duplicate code use forwarding use field initialisers,2020-08-13
field initialisation interesting checked exception thats real problem,2020-08-13
,2020-08-13
im sure youre saying make sense able clarify,2020-08-13
labaere interesting rationale little different philosophy mechanic initialisation respective language also tension common initialise close declaration possible recommendation,2020-08-13
labaere didnt think contentious topic whole doesnt seem people consciously case required ie parameter independent habit based lack familiarity emerging rationale,2020-08-13
labaere never try create flame war,2020-08-13
labaere ok seems based habit perhaps thats something could practice field declaration perhaps thats something reconsider focus one stylistic interest,2020-08-13
interesting field declaration shift type together sound like real problem,2020-08-13
given response clarification im talking field depend constructor parameter definition cant field initialised correctly,2020-08-13
yes make sure initialisation region code idea spreading doesnt make sense follow practice initialising close declaration possible field constructorparameter independent field initialise,2020-08-13
would say encouraged java interest case dont need constructor ie argument dependent,2020-08-13
question loaded constructor initialisation im interested people avoid good initialisation practice,2020-08-13
im sure answer question,2020-08-13
field initialisers c,2020-08-13
im sure understand mean field optional,2020-08-13
theyre syntactic sugar run different point semantic,2020-08-13
construction life cycle default initialise field null etc run field initialisers java initialiser block run constructor body,2020-08-13
language role constructor complete initialisation place initialisation happens would use field initialises initialisation doesnt need constructor,2020-08-13
question c,2020-08-13
true building house ive often used building demonstrate highlight people assumption theyre actually built ie assumption isnt true house would true software way dismissing dismissal,2020-08-12
course strong quality requirement formalised stated test year ago exactly hashing algorithm required fairly uniform distribution mapping bit value,2020-08-12
would expect review clarify wouldnt write semantic test unless strong quality requirement hash code,2020-08-12
absence requirement backward compatibility particular hash perfect hashing hardcoded semantically sufficient tell quality code necessarily conveyed best semantic test,2020-08-12
,2020-08-12
computer hard,2020-08-12
,2020-08-12
zdunic best kind error,2020-08-12
given year indivisible leap year neither following claim made year divisible leap year year indivisible leap year see lab time likewise equivalent production,2020-08-12
one favourite teaching example determining whether year leap year using proleptic gregorian calendar difficulty people describing accurately test instructive,2020-08-12
made statement something required true said nothing statement necessarily false,2020-08-12
course entirely possible likely incorrect test pass value given luck rather design,2020-08-12
however whenever someone remembered test common enough often also see someone intends perfect hash logical fallacy denying antecedent basically b incorrectly concluding b,2020-08-12
example one see production test course blog following,2020-08-12
logic something human struggle even especially theyre software developer come condition production code also testing condition tested necessarily case leading brittle overfitting test,2020-08-12
nice thats really novel way looking visualises really well thanks,2020-08-11
someone humanity better,2020-08-11
ooh would interested youre ever able verbalise intuition,2020-08-11
,2020-08-11
,2020-08-11
four word,2020-08-10
,2020-08-10
shaw doesnt make difference,2020-08-10
joke worked place following existed,2020-08-10
would submit change request start zero,2020-08-10
,2020-08-10
pytest support feature hence wish,2020-08-10
yes want say expected wish explicitly rather implicitly common need example testing contrasting one behaviour throw exception another similar behaviour,2020-08-10
wish pytest simple way making expectation exception expression explicit eg raisesnone rather relying commentsilencehandrolled solution,2020-08-10
gee,2020-08-10
umm system isolation guess thats good thing case,2020-08-10
nice,2020-08-09
nan,2020-08-09
unlocked,2020-08-09
,2020-08-09
ibanez im something else next,2020-08-08
,2020-08-08
ha kramer kramer,2020-08-08
yes kramer started remaking entry level new rather original vintage,2020-08-08
anyone market entrylevel kramer im selling mine,2020-08-08
instagrams week,2020-08-08
week instagram farnham brighton,2020-08-08
,2020-08-08
,2020-08-08
umm awake,2020-08-08
cunningham law dial turned,2020-08-08
,2020-08-08
,2020-08-08
yes euclidean divisionmodulo like programming language tend use,2020-08-07
little oe germanic large latin via,2020-08-07
im also suspicious programming language idea justified mathematical purity pragmatism simplicity suggest alternative programming math,2020-08-07
wikipedia entry longer support claim mathematician always prefer floor division mathematician likely consider computing rather mathsrelated issue going bookshelf knuth main advocate floor division,2020-08-07
negative time epoch defined posix case supported matter add specialcase handling simple reason really special case hard easier messing language,2020-08-07
yeah thought example compelling common unfortunately correct,2020-08-07
,2020-08-07
,2020-08-07
would interested example used make claim experience opposite introducing asymmetry sometimes reduce special case eg using halfopen range clue name likely introduce special case,2020-08-07
,2020-08-07
python one language think chose make handling positive negative domain asymmetric lead specialcase code language design decision make code le regular introduces special case imho questionable,2020-08-07
im running python floor division problem solution,2020-08-07
lovehate relationship minute talk im comfortable used still prefer minute talk nemesis minute talk,2020-08-07
,2020-08-07
thrown back childhood havent seen picture decade id even forgotten book existed evocative thank,2020-08-07
,2020-08-07
yes secondary indicator would probably strong role play play weighting,2020-08-07
python floor division aagh thank unit test,2020-08-07
nice little ml challenge get right without ruleassisted ai suspect data set would need exhaustive get right,2020-08-07
mobile artistic hub,2020-08-07
wasnt sound interesting,2020-08-07
ffeher ctu although good observation wasnt,2020-08-06
need find define encoding greater equal,2020-08-06
intellij ability refactor stream,2020-08-06
indeed list world look like loop,2020-08-06
sometimes data structure question minilanguage front end regular expression,2020-08-06
simpler still finding data structure work new treesetltgtlistofwords,2020-08-06
pipeline simplification using java stream simpler declarative,2020-08-06
var result new arraylistltgtlistofwords sortresult string previous null var position resultiterator positionhasnext var current currentequalsprevious positionremove previous current,2020-08-06
example present unique word sorted order list word hand java,2020-08-06
another often overlooked opportunity reduce explicit control flow use data structure matching data structure problem make solution simpler declarative,2020-08-06
example error following code incorrection easier spot expressed pipeline raw control flow,2020-08-06
control flow encapsulated parameterised higherorder functionsblocksetc exchange sequential control flow sequential data flow tends easier reason jumpy le sequential control flow harder becomes,2020-08-06
whats often overlooked control state implicit explicit tracking state imperative control flow need run program counter head track change role across variable greater complexity likely error become,2020-08-06
talking reducing mutability state imperative code focus tends object explicitly represented data variable ie reduce incidence possibility assignment eliminate method sideeffects etc,2020-08-06
,2020-08-06
gallardo good thing,2020-08-05
still one cabinet,2020-08-05
maynotflower,2020-08-05
,2020-08-05
,2020-08-05
nice look like three set common nicer cabinet umm yeah cabinet,2020-08-05
gallardo nice,2020-08-05
reason think bcs oops held pattern day one saturday london picked tonne idea reading,2020-08-05
winder ttwob gof,2020-08-05
,2020-08-05
think first came across late probably probably via also via alan ocallaghan ran workshop around topic,2020-08-05
cummins record observing developer chose two completely different naming convention new method two adjacent line written second apart,2020-08-05
cummins yup also completely valid hypothesis individual quite capable inconsistency without additional help,2020-08-05
combe wassell,2020-08-05
combe thanks funnily enough mentioning breakfast going propose python programming gut next one,2020-08-05
combe yes thats good example without knowing slack setup feeling might case key aspect ux ignored eg failure decouple account workspace,2020-08-05
combe indeed would one question answer kind hypothesis fit observation good set theory test,2020-08-05
suggests different team least different people touching code ui different time without review across rolesteams possibly po marketer strong opinion something lack attention detail humility something reviewed,2020-08-05
eg slack profile sidebar say add title whereas edit profile dialog say thing one title description switch first person also inconsistent entry,2020-08-05
ask lot question software product organisation based little inconsistency across ux sometimes hint question reviewing crossreviewing lack sometimes suggest organisational boundary leaking ui,2020-08-05
,2020-08-04
,2020-08-04
durstberger,2020-08-04
,2020-08-04
gallardo original freeing pressure expectation,2020-08-04
gallardo,2020-08-04
schl,2020-08-04
raise hand,2020-08-04
python exception model fine bad example try unnecessarily repurposed normal control flow basis objection,2020-08-04
keep good idea useless could well crossword puzzle articulating idea making accessible writing talk become contribution bjarne stroustrup,2020-08-03
pitest eng play,2020-08-03
working dialup v always,2020-08-03
month unsurprisingly mostly home online catch following online event tomorrow java programming gut rest month course workshop talk company,2020-08-03
jhr thats brilliant thanks,2020-08-03
staying current world news view photography curated art influencer,2020-08-02
,2020-08-02
coat right,2020-08-02
,2020-08-01
sworriedhoping,2020-08-01
vulcanologists likely listen slow rock hardcore,2020-08-01
refilled leak thats fortunate son,2020-08-01
think would make good demonstration enterprise programming,2020-08-01
use calculate exponential,2020-08-01
take push,2020-08-01
writes conference proposal,2020-08-01
furiously make note create new c course taught unconventional perspective,2020-08-01
nice,2020-08-01
tech talk playing background misheard speaker tribble turn speaker saying iterable honestly think misheard version held exciting possibility startrek mondegreen,2020-08-01
assumption return,2020-08-01
likewise feel however im always losing side,2020-08-01
arrival,2020-08-01
,2020-08-01
,2020-08-01
,2020-08-01
none good default although theory valid entry practice isnt common good example provide search function found dictget us none unless user provides alternative simple easy use pythonic,2020-08-01
nice little project,2020-08-01
,2020-08-01
probably,2020-08-01
stable internet genuine issue number location unlikely explanation case serious objection,2020-07-31
,2020-07-31
comment inspired number time struggle hear people bad connection dodgy microphone running course workshop meeting clear theyre using whatever worked prepandemic otherwise provided,2020-07-31
difficult time employer supporting employee working home paying better connectivity equipment reasonable employee demand employer way around,2020-07-31
yeah thats favourite facepalm design decision never get python programmer help reverse space yes keep going youre good keep going crash ok stop,2020-07-31
clarify saying race condition error condition error condition,2020-07-31
there nothing thats obvious thing return option available searching request two normal outcome,2020-07-31
list could get long let start two decision use exception signal erroneous condition provide expressionlevel exception handling statementoriented construct,2020-07-31
consider list remove index raise exception nonexceptional condition,2020-07-31
two ive already reminded morning removing item list locating position item list absence considered error condition indexing perfectly normal outcome searching,2020-07-31
guess opportunity address python either blind spot considered minor rather major inconvenience,2020-07-31
python really good exception handling model would le issue doesnt bad adequate make code simple brief clunky error prone word pythonic,2020-07-31
present abused way core language library therefore people programming habit use exception chastise normal condition reduces brevity simplicity code,2020-07-31
python great language made really good decision come consistency simplifying usage one aspect always considered flawed odds simplicity considered pythonic excessive love affair exception,2020-07-31
yes happens iirc code made extensive use hardcoded literal,2020-07-31
least problem,2020-07-31
,2020-07-31
oversight really least code problem,2020-07-30
early career unfortunate enough see function named f switch statement case every day year ie day day surrounded loop iterated make sure every case ran,2020-07-30
classic paper,2020-07-30
,2020-07-30
zameth booch note postmodern programming,2020-07-30
uh huh discreetly cross entry list,2020-07-30
dave thats outrageous claim angie interest framework looking moment,2020-07-30
ffeher believe already exists go title current affair,2020-07-30
,2020-07-29
first week different small part loss work rolling wave cancellation huge uncertainty future ive lucky vacuum filled people realised still want workshop talk course review etc,2020-07-29
working home parttime part work structure year whats happening fulltime basis share attribute last quarter century,2020-07-29
closest ive come,2020-07-29
thats good question answer good idea,2020-07-29
,2020-07-29
worthy,2020-07-29
airline sent deal safety measure flying u next year thanks,2020-07-29
hammer going use,2020-07-29
n conferencingmediaetc thing used tried familiar someone inevitably suggest nth option often justify saying better typically dont know better experience yesterday today,2020-07-29
dont succeed run risk failure dan quayle,2020-07-29
,2020-07-29
assert whats necessary exclude unnecessary otherwise likely end overfitting test test brittle fail presence change rather presence defective change specific bit whole,2020-07-29
fahller looking thumbnail look like im putting tiny fish back make sense im vegetarian,2020-07-28
recently softwarily ireland contacttracing app augmented type twitter crackdown qanon uncertainty architecture automated coding kindle fire profanity filter recursion function mapping robot teacher boeing starliner code,2020-07-28
booch,2020-07-28
cthulet,2020-07-28
,2020-07-27
interesting interesting,2020-07-27
c version talk differs previous javacentric version couple update cited paper use peano axiom successor relationship use c rather j church numeral unlike java lambda c lambda actually lambda,2020-07-27
slide talk lambda keep using letter slideshare,2020-07-27
good album isnt,2020-07-27
slide talk last week passion programming slideshare,2020-07-27
,2020-07-27
recently interstitious peter green pandemic lexicon bookreading machine genderless pronoun regional french accent max richter capital letter yamaha dx uncommon singular word language evolution amp interstellar travel jeanmichel jarre,2020-07-27
yup simak outlier le guin treasure,2020-07-26
mertz,2020-07-26
ape,2020-07-26
,2020-07-26
drowning waving,2020-07-25
recently substition generosity amp mortality attractiveness amp posing pet earth million year direct observation multiple exoplanets weakness strong opinion weakly held trump cognitive test climate sensitivity,2020-07-25
,2020-07-25
etter,2020-07-24
etter ah explains clearly havent getting enough poetry,2020-07-24
etter well find let u know,2020-07-24
etter winning,2020-07-24
,2020-07-24
,2020-07-24
naming hard,2020-07-23
youre welcome,2020-07-23
happy birthday,2020-07-23
prota clearly work done,2020-07-23
prota,2020-07-23
